Mstar = 8.9948e+32 g 
Rstar = 32271200000.0 cm 
Twind = 4500000.0 K 
Mdot = 1.26121179257e+11 g/s 
cs = 27271094.1264 cm/s
rs = 40335015185.2 cm
R (cm)    density (g/cm^3)    Vr (cm/s)   
1.1    3.34747964659e-19    23792748.4839    
1.21094754618    2.48861303957e-19    26408266.4777    
1.32189509236    1.91506901994e-19    28798476.8014    
1.43284263854    1.51464078236e-19    30991406.6982    
1.54379018472    1.22490685022e-19    33011732.3137    
1.6547377309    1.00903066542e-19    34880702.6234    
1.76568527708    8.44199619685e-20    36616445.6736    
1.87663282326    7.15706698155e-20    38234395.759    
1.98758036943    6.1374282936e-20    39747708.8958    
2.09852791561    5.31572482887e-20    41167636.6834    
2.20947546179    4.6445256478e-20    42503842.9485    
2.32042300797    4.08968638973e-20    43764663.8228    
2.43137055415    3.62614485865e-20    44957326.2075    
2.54231810033    3.23518499491e-20    46088123.9761    
2.65326564651    2.90261239225e-20    47162564.9183    
2.76421319269    2.6175114306e-20    48185489.0749    
2.87516073887    2.37138170112e-20    49161169.5179    
2.98610828505    2.15752761984e-20    50093394.2748    
3.09705583123    1.97062007171e-20    50985532.3237    
3.20800337741    1.80637672368e-20    51840593.7355    
3.31895092359    1.66132609103e-20    52661276.4883    
3.42989846977    1.53263114271e-20    53450005.4791    
3.54084601594    1.41795582436e-20    54208968.9342    
3.65179356212    1.31536316088e-20    54940147.0181    
3.7627411083    1.22323666364e-20    55645335.2403    
3.87368865448    1.14021905804e-20    56326168.5124    
3.98463620066    1.06516429585e-20    56984137.0781    
4.09558374684    9.97099504485e-21    57620604.0682    
4.20653129302    9.35194711131e-21    58236818.1793    
4.3174788392    8.78738498946e-21    58833927.3282    
4.42842638538    8.27118403547e-21    59412986.7791    
4.53937393156    7.79804909222e-21    59974970.8469    
4.65032147774    7.36338423097e-21    60520779.3995    
4.76126902392    6.96318538322e-21    61051245.66    
4.8722165701    6.59395180073e-21    61567141.7332    
4.98316411628    6.25261228786e-21    62069185.7579    
5.09411166245    5.93646400637e-21    62558045.1578    
5.20505920863    5.6431209159e-21    63034342.168    
5.31600675481    5.37047051872e-21    63498657.5741    
5.42695430099    5.11663733022e-21    63951533.7999    
5.53790184717    4.87995177782e-21    64393479.1343    
5.64884939335    4.65892395043e-21    64824968.7062    
5.75979693953    4.45222085544e-21    65246449.5236    
5.87074448571    4.25864724229e-21    65658340.7989    
5.98169203189    4.07712891767e-21    66061036.8745    
6.09263957807    3.90669840815e-21    66454909.1733    
6.20358712425    3.74648257444e-21    66840307.6622    
6.31453467043    3.5956918204e-21    67217562.9645    
6.42548221661    3.45361081013e-21    67586986.3604    
6.53642976279    3.31959017968e-21    67948873.3628    
6.64737730896    3.19303951213e-21    68303502.7422    
6.75832485514    3.07342100787e-21    68651138.9649    
6.86927240132    2.96024401777e-21    68992032.518    
6.9802199475    2.85306016762e-21    69326421.5347    
7.09116749368    2.75145913277e-21    69654531.4698    
7.20211503986    2.65506479964e-21    69976577.2122    
7.31306258604    2.56353196265e-21    70292762.5975    
7.42401013222    2.47654329784e-21    70603282.3588    
7.5349576784    2.39380676699e-21    70908321.3135    
7.64590522458    2.31505321177e-21    71208056.1518    
7.75685277076    2.24003427468e-21    71502655.1113    
7.86780031694    2.16852050542e-21    71792278.6271    
7.97874786312    2.10029965403e-21    72077080.3076    
8.0896954093    2.03517516236e-21    72357207.0964    
8.20064295547    1.9729648107e-21    72632799.2729    
8.31159050165    1.9134994887e-21    72903990.7768    
8.42253804783    1.85662206163e-21    73170910.5091    
8.53348559401    1.80218640029e-21    73433681.519    
8.64443314019    1.75005646162e-21    73692421.8164    
8.75538068637    1.70010546825e-21    73947244.6977    
8.86632823255    1.65221516403e-21    74198259.0703    
8.97727577873    1.60627515185e-21    74445569.1277    
9.08822332491    1.56218226635e-21    74689275.1622    
9.19917087109    1.51984002019e-21    74929473.565    
9.31011841727    1.47915809872e-21    75166256.8262    
9.42106596345    1.4400518827e-21    75399714.3475    
9.53201350963    1.40244204339e-21    75629931.6291    
9.64296105581    1.3662541293e-21    75856991.7334    
9.75390860199    1.33141824098e-21    76080973.8215    
9.86485614816    1.29786867778e-21    76301954.7786    
9.97580369434    1.26554365341e-21    76520008.5644    
10.0867512405    1.23438502039e-21    76735206.375    
10.1976987867    1.20433800898e-21    76947617.2935    
10.3086463329    1.17535100987e-21    77157307.4771    
10.4195938791    1.14737534136e-21    77364341.4575    
10.5305414252    1.12036507592e-21    77568780.678    
10.6414889714    1.09427683035e-21    77770685.444    
10.7524365176    1.06906962063e-21    77970113.4602    
10.8633840638    1.0447046913e-21    78167120.9684    
10.97433161    1.02114538402e-21    78361761.9346    
11.0852791561    9.98356996387e-22    78554088.6994    
11.1962267023    9.76306655494e-22    78744152.303    
